"er","V2","V3","V4","V5"
0,9.30413087488279,7.30413087488267,9.30413087488279,7.30413087488268
0.02,10.1911849669388,6.3090780462503,10.1911849669388,6.47060530949963
0.04,11.1097618371619,5.41934646372037,11.1097618371619,5.77546513798599
0.06,12.0560054582569,4.62818642068044,12.0560054582569,5.18122502515092
0.08,13.0258308379084,3.92873270828624,13.0258308379084,4.66659009546795
0.1,14.0149940535669,3.31407020130983,14.0149940535669,4.21823534480989
0.12,15.0191633964683,2.77730072766284,15.0191633964683,3.81148949969214
0.14,16.0339896793234,2.31160926919809,16.0339896793234,3.47617753407116
0.16,17.0551738680959,1.91032764763308,17.0551738680959,3.17478429852922
0.18,18.0785303651579,1.56699401656737,18.0785303651579,2.89088542087426
0.2,19.1000444897337,1.27540669944438,19.1000444897337,2.6259921941765
0.22,20.1159229610396,1.02967117303026,20.1159229610396,2.38412257751182
0.24,21.122636477743,0.824239284437634,21.122636477743,2.20629712660688
0.26,22.1169537915837,0.653940094152887,22.1169537915837,2.05097319586191
0.28,23.0959669804036,0.514002045146648,23.0959669804036,1.90267574506012
0.3,24.0571079241729,0.400066456686081,24.0571079241729,1.76153379598619
0.32,24.9981562656373,0.308192619703554,24.9981562656373,1.62772161072447
0.34,25.9172393852238,0.234855018772002,25.9172393852238,1.5011753489755
0.36,26.8128251299337,0.176933416012162,26.8128251299337,1.38166907344112
0.38,27.683708202357,0.131696698832585,27.683708202357,1.26909387461858
0.4,28.5289912351358,0.0967815127624015,28.5289912351358,1.16329592662484
0.42,29.3480616469531,0.0701667715488596,29.3480616469531,1.06408442225432
0.44,30.1405653994275,0.0501451601431763,30.1405653994275,0.971239213107469
0.46,30.9063787531565,0.0352927252129887,30.9063787531565,0.884561424013899
0.48,31.6455790603856,0.0244375871909553,31.6455790603856,0.803801446932283
0.5,32.3584155375914,0.0166287138204242,32.3584155375914,0.751486276036488
0.52,33.0452808409285,0.0111055749496313,33.0452808409285,0.714467460196313
0.54,33.7066841288693,0.00726935982610577,33.7066841288693,0.678336663905808
0.56,34.3432261474953,0.00465628940112279,34.3432261474953,0.643074040266225
0.58,34.9555767226132,0.00291340497803512,34.9555767226132,0.608657669078758
0.6,35.5444548963279,0.00177706811342888,35.5444548963279,0.575064227012238
0.62,36.1106118101678,0.00105427124221423,36.1106118101678,0.542269552538195
0.64,36.654816317325,0.000606739078283864,36.654816317325,0.510249109909874
0.66,37.1778432067347,0.0003377010953119,37.1778432067347,0.478978359394272
0.68,37.6804638437408,0.000181137511497459,37.6804638437408,0.448433043075933
0.7,38.1634389767323,9.32459290844414e-05,38.1634389767323,0.418589396861607
0.72,38.6275134257564,4.58424981166753e-05,38.6275134257564,0.389424299889365
0.74,39.0734123559593,2.13983823485904e-05,39.0734123559593,0.360915372479228
0.76,39.5018388429455,9.41665164154364e-06,39.5018388429455,0.333041033174017
0.78,39.9134724554515,3.87308817297529e-06,39.9134724554515,0.305780524438625
0.8,40.3089686092442,1.47298731329543e-06,40.3089686092442,0.27911391534813
0.82,40.6889584810507,5.11013491963316e-07,40.6889584810507,0.253022088227164
0.84,41.054049309027,1.58918451451873e-07,41.054049309027,0.227486714817671
0.86,41.4048249435425,4.3294084333986e-08,41.4048249435425,0.202490226243185
0.88,41.7418465465084,1.00147308788144e-08,41.7418465465084,0.178015779872542
0.9,42.0656533672466,1.88265824354297e-09,42.0656533672466,0.154047225208032
0.92,42.3767635471376,2.69707042885772e-10,42.3767635471376,0.130569070149337
0.94,42.6756749236963,2.66430804502427e-11,42.6756749236963,0.107566448411226
0.96,42.9628658177449,1.53408860760012e-12,42.9628658177449,0.0850250884784537
0.98,43.2387957957899,3.75064825119831e-14,43.2387957957899,0.0629312842329283
1,43.5039064046429,1.89937424126233e-16,43.5039064046429,0.0412718672489495
