"sig","V2","V3","V4","V5"
0,NA,NA,NA,NA
0.1,5.09568883630707,1.2135819156186,5.09568883630707,1.32398292858929
0.2,7.60588433777534,3.72377741708704,7.60588433777534,3.8663884045287
0.3,10.1911849669388,6.3090780462503,10.1911849669388,6.47060530949963
0.4,12.7628844126691,8.88077749198081,12.7628844126691,9.05902415699146
0.5,15.2931326049425,11.4110256842541,15.2931326049425,11.6052611092427
0.6,17.7652847622233,13.8831778415349,17.7652847622233,14.0941820992144
0.7,20.1666442852336,16.2845373645452,20.1666442852336,16.5127787199319
0.8,22.4867136204955,18.6046066998071,22.4867136204955,18.8507301038979
0.9,24.7166671784228,20.8345602577344,24.7166671784228,21.0992888215011
1,26.8491740944889,22.9670671738004,26.8491740944889,23.2511465397444
