"t","V2","V3","V4","V5"
1,7.42580466198775,4.4753409807121,7.42580466198775,4.53787240462409
2,10.1911849669388,6.3090780462503,10.1911849669388,6.47060530949963
3,12.3599413045442,7.56463891658836,12.3599413045442,7.84219825966733
4,14.2041770740822,8.51376170064112,14.2041770740822,8.9202308436026
5,15.8323187798103,9.26451484553676,15.8323187798103,9.8105166726981
6,17.301208683098,9.87338964552205,17.301208683098,10.567259297935
7,18.6452962949384,10.3744915940814,18.6452962949384,11.2240518934302
8,19.887464936826,10.7903668072043,19.887464936826,11.8018660750963
9,21.0439152706182,11.1368854183603,21.0439152706182,12.3155653289357
10,22.126669115107,11.4257452628502,22.126669115107,12.7768189051285
11,23.1449760470027,11.6658783492013,23.1449760470027,13.1936599822036
12,24.1061599929263,11.8642973241215,24.1061599929263,13.5720390132588
13,25.0161570481485,12.0266331667185,25.0161570481485,13.9171846059908
14,25.8798723528689,12.157491942744,25.8798723528689,14.2337783383803
15,26.701425566029,12.2607001587519,26.701425566029,14.5253359846116
16,27.4843248852321,12.3394786647684,27.4843248852321,14.7945734845291
17,28.2315936267679,12.3965691193747,28.2315936267679,15.0437258249413
18,28.9458643657769,12.4343280171875,28.9458643657769,15.2747043188386
19,29.6294503196886,12.4547979618823,29.6294503196886,15.4891787409983
20,30.2844004071662,12.4597626168776,30.2844004071662,15.6887241099711
21,30.9125423635415,12.4507897146654,30.9125423635415,15.8749541253668
22,31.5155169635619,12.4292651755544,31.5155169635619,16.0492150649872
23,32.0948055182904,12.3964205026233,32.0948055182904,16.2125704306953
24,32.65175221261,12.3533550193047,32.65175221261,16.3659035564834
25,33.1875824340106,12.3010541002179,33.1875824340106,16.5099806338419
26,33.7034179502071,12.2404042527767,33.7034179502071,16.6454836516821
27,34.20028958317,12.1722056971231,34.20028958317,16.773028455726
28,34.6791478745845,12.0971829393286,34.6791478745845,16.8931756835546
29,35.140872125229,12.0159937203705,35.140872125229,17.0064381465969
30,35.5862781070188,11.9292366395349,35.5862781070188,17.1132863145934
31,36.0161246831012,11.8374576876471,36.0161246831012,17.2141526964998
32,36.4311195232151,11.7411558772825,36.4311195232151,17.309435516014
33,36.8319240644116,11.6407881200145,36.8319240644116,17.3995018924509
34,37.2191578383298,11.5367734718819,37.2191578383298,17.4846906458734
35,37.5934022636913,11.4294968456783,37.5934022636913,17.5653147988664
36,37.9552039847278,11.3193122708107,37.9552039847278,17.6416638228245
37,38.3050778222542,11.2065457672651,38.3050778222542,17.7140056631026
38,38.6435093923738,11.091497888852,38.6435093923738,17.7825890233167
39,38.9709574390456,10.974445981699,38.9709574390456,17.8476679537161
40,39.2878559189107,10.8556461965372,39.2878559189107,17.909520696738
41,39.5946158709376,10.7353352872302,39.5946158709376,17.9683890788872
42,39.8916270983843,10.613732222984,39.8916270983843,18.0244689804647
43,40.1792596863468,10.4910396375996,40.1792596863468,18.0779255843381
44,40.457865374944,10.3674451356588,40.457865374944,18.1289045502969
45,40.7277788051701,10.2431224727198,40.7277788051701,18.1775382208639
46,40.9893186521483,10.1182326242049,40.9893186521483,18.2239489731252
47,41.2427886584399,9.99292475565218,41.2427886584399,18.2682510965416
48,41.4884785785039,9.86733710530924,41.4884785785039,18.3105519176012
49,41.7266650437534,9.74159778862276,41.7266650437534,18.3509525334813
50,41.9576123567117,9.61582553293965,41.9576123567117,18.3895483371745
